issue_id,run_id,issue_type,natural_key,detail
81e0f0c3-a64a-4125-8335-1752ccc0f920,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad tecnica estatal de quevedo|maestria en gerencia de innovaciones educativas|ciencias sociales, educacion comercial y derecho|cuarto nivel o posgrado|semipresencial|guayas|","{""provincia_original"": ""GUAYAS"", ""canton_original"": ""LA LIBERTAD""}"
a9a2089b-26eb-467b-91e1-0e0c725fad18,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad tecnica del norte|maestria en administracion de negocios|ciencias sociales, educacion comercial y derecho|cuarto nivel o posgrado|semipresencial||","{""provincia_original"": ""CAÑAR"", ""canton_original"": ""AZOGUES""}"
5ed165ef-3079-4492-abc0-22ed18a1159a,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad laica eloy alfaro de manabi|administracion de empresas|ciencias sociales, educacion comercial y derecho|tercer nivel o pregrado|presencial|manabi|","{""provincia_original"": ""MANABÍ"", ""canton_original"": ""BAHIA DE CARAQUEZ""}"
c2716150-998c-438d-8143-3126ef2bd470,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad laica eloy alfaro de manabi|hoteleria y turismo|servicios|tercer nivel o pregrado|presencial|manabi|,"{""provincia_original"": ""MANABÍ"", ""canton_original"": ""BAHIA DE CARAQUEZ""}"
56487252-6853-4263-b85d-616833fa2c09,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad laica eloy alfaro de manabi|ingenieria agropecuaria acuicola|agricultura|tercer nivel o pregrado|presencial|manabi|,"{""provincia_original"": ""MANABÍ"", ""canton_original"": ""BAHIA DE CARAQUEZ""}"
76a23e81-bd07-4af8-a05e-105a9377b45c,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad laica eloy alfaro de manabi|tecnologia agropecuaria|agricultura|tercer nivel tecnico superior|presencial|manabi|,"{""provincia_original"": ""MANABÍ"", ""canton_original"": ""BAHIA DE CARAQUEZ""}"
7f056fc5-6891-4f71-8f5d-306ddb71cb00,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad laica eloy alfaro de manabi|contabilidad y auditoria|ciencias sociales, educacion comercial y derecho|tercer nivel o pregrado|presencial|manabi|","{""provincia_original"": ""MANABÍ"", ""canton_original"": ""BAHIA DE CARAQUEZ""}"
c47ee9a9-6468-4f66-a1d9-d8c9db3ddce6,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad laica eloy alfaro de manabi|ciencias de la comunicacion mencion periodismo|ciencias sociales, educacion comercial y derecho|tercer nivel o pregrado|presencial|manabi|","{""provincia_original"": ""MANABÍ"", ""canton_original"": ""BAHIA DE CARAQUEZ""}"
d25c94c5-6d76-460f-86cd-1e0a58f52a0a,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad laica eloy alfaro de manabi|secretariado ejecutivo|ciencias sociales, educacion comercial y derecho|tercer nivel o pregrado|presencial|manabi|","{""provincia_original"": ""MANABÍ"", ""canton_original"": ""BAHIA DE CARAQUEZ""}"
99feab96-9a6a-4403-9783-af017a5a1b55,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad laica eloy alfaro de manabi|secretariado ejecutivo|ciencias sociales, educacion comercial y derecho|tercer nivel tecnico superior|presencial|manabi|","{""provincia_original"": ""MANABÍ"", ""canton_original"": ""BAHIA DE CARAQUEZ""}"
6b806925-54c4-436c-9903-80ab4d75b51d,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad laica eloy alfaro de manabi|contabilidad y auditoria|ciencias sociales, educacion comercial y derecho|tercer nivel tecnico superior|presencial|manabi|","{""provincia_original"": ""MANABÍ"", ""canton_original"": ""BAHIA DE CARAQUEZ""}"
511fea26-1d1c-4a1a-ac85-84d3f35a7fc1,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad laica eloy alfaro de manabi|ciencias de la educacion mencion computacion comercio y administracion|educacion|tercer nivel o pregrado|presencial|manabi|,"{""provincia_original"": ""MANABÍ"", ""canton_original"": ""BAHIA DE CARAQUEZ""}"
884a4a76-1cb0-4d76-917c-c04954bd9f7e,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad laica eloy alfaro de manabi|psicologia clinica|ciencias sociales, educacion comercial y derecho|tercer nivel o pregrado|presencial|manabi|","{""provincia_original"": ""MANABÍ"", ""canton_original"": ""BAHIA DE CARAQUEZ""}"
