mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3.4413809776306152,0.555622886862711,0.11555819511413574,0.04981211877040685,0.6,100,20,5,4,0.01,"{""model__learning_rate"": 0.01, ""model__max_depth"": 4, ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 20, ""model__n_estimators"": 100, ""model__subsample"": 0.6}",0.5896302622206405,0.6146043183092768,0.601404753347733,0.6298189743587687,0.6061668867381033,0.6083250389949044,0.013442181812305748,19,0.6237082236264953,0.6192004688657803,0.6246466971579172,0.613272082187873,0.6173971251697449,0.6196449194015621,0.004180703081728159
4.01393404006958,0.2246759168372544,0.11140322685241699,0.01500819906475655,1.0,200,20,1,3,0.1,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 20, ""model__n_estimators"": 200, ""model__subsample"": 1.0}",0.6091554979981153,0.6303736249914752,0.6047744678136936,0.6513664203308877,0.6171346469491695,0.6225609316166683,0.01683034680713658,10,0.6478248667871734,0.6455179570731526,0.6516160819439084,0.6417482167470163,0.6473895499641671,0.6468193345030835,0.003217292195884593
2.804225206375122,0.4508103632016809,0.10666618347167969,0.036855799281505695,0.75,100,5,5,3,0.05,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 5, ""model__n_estimators"": 100, ""model__subsample"": 0.75}",0.6057052391480324,0.6263654491048419,0.6045014476426762,0.6431593803485313,0.6178971068981156,0.6195257246284396,0.01431585573536929,15,0.631351355720713,0.6268071772764541,0.6351574720755897,0.623770856124411,0.6317416420566879,0.6297657006507711,0.004004519121930864
4.502708005905151,0.3593824946401593,0.07986216545104981,0.01050195258900817,0.75,300,5,10,1,0.1,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 5, ""model__n_estimators"": 300, ""model__subsample"": 0.75}",0.5854452024145376,0.5846275749313382,0.5869753311552507,0.6253549273569329,0.5968068161732478,0.5958419704062614,0.015391025290574597,26,0.6037179906383345,0.6041324922586286,0.6023659935482217,0.5996937161096976,0.6062468258897244,0.6032314036889213,0.002163592689889319
9.191309499740601,0.710264628582623,0.15500764846801757,0.0365687990792682,0.6,300,20,10,4,0.2,"{""model__learning_rate"": 0.2, ""model__max_depth"": 4, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 20, ""model__n_estimators"": 300, ""model__subsample"": 0.6}",0.6115956795246592,0.6370774607725704,0.6033513458270945,0.6493259430772835,0.6169675340455106,0.6236635926494236,0.016979677184755747,7,0.6665768965356518,0.6667666202671972,0.6707918947559677,0.6618278849400955,0.6679131831484939,0.6667752959294813,0.0028963482712066092
1.5830584049224854,0.26910741207086314,0.11607398986816406,0.03927145120624195,1.0,50,10,1,4,0.1,"{""model__learning_rate"": 0.1, ""model__max_depth"": 4, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 10, ""model__n_estimators"": 50, ""model__subsample"": 1.0}",0.6083467346715186,0.6301547961998497,0.6131985481441937,0.6461677420808317,0.6165160815945542,0.6228767805381896,0.013716320991895195,8,0.6435221927097905,0.6369761090012153,0.6424210978473196,0.6321403202193857,0.6393076227307437,0.638873468501691,0.0040821577504328785
2.5140000343322755,0.5148921966958604,0.12222456932067871,0.06431445768051983,0.6,100,5,1,2,0.05,"{""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 5, ""model__n_estimators"": 100, ""model__subsample"": 0.6}",0.6008931549423153,0.605209275303105,0.5848021237280939,0.6392550814751223,0.5970870766238978,0.6054493424145069,0.018220206357621224,22,0.6161664443706458,0.611644983119986,0.6155893083300827,0.6061181905409039,0.6107038759177874,0.6120445604558812,0.0036505923340095056
3.86314697265625,0.5631139467317303,0.1130033016204834,0.049981391393756576,0.9,200,20,2,2,0.01,"{""model__learning_rate"": 0.01, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 20, ""model__n_estimators"": 200, ""model__subsample"": 0.9}",0.5495450012551536,0.566578593662283,0.5645213934241344,0.5764696098926159,0.5673090151748917,0.5648847226818158,0.008699368554952699,36,0.5756056767434412,0.5714340039172998,0.5714864213500144,0.5560068050584043,0.5718809903473305,0.569282779483298,0.0068185780105374915
1.419610595703125,0.13353217851240048,0.07543821334838867,0.010501827388199257,0.9,50,10,2,4,0.01,"{""model__learning_rate"": 0.01, ""model__max_depth"": 4, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10, ""model__n_estimators"": 50, ""model__subsample"": 0.9}",0.5515447880118953,0.5911183325862803,0.5865639027983962,0.6073594303649773,0.5840110750297487,0.5841195057582595,0.018199872214180842,33,0.5861334720960633,0.5902789962623011,0.6009743441566109,0.5871419580596053,0.5889335048653753,0.5906924550879912,0.005336149397737053
7.969264078140259,0.6114347988711127,0.09823999404907227,0.03704256778178367,0.9,300,20,10,4,0.03,"{""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 20, ""model__n_estimators"": 300, ""model__subsample"": 0.9}",0.6129461935681347,0.6295996483988298,0.6129298519417468,0.6504426713991522,0.6183721541025932,0.6248581038820913,0.014165427530869036,6,0.6507324580742412,0.6483855673888695,0.6519551361704169,0.642914140119627,0.648383800793874,0.6484742205094056,0.003103125514053416
